Step	,episode.rwd	,episode.q	,episode.loss	,epsilon	,time
37460	,1	,6.24659723788	,0.559959364183	0.96254	,574.517265081
37665	,2	,7.11393988132	,0.606712734625	0.962335	,577.834006071
37933	,3	,9.18827743456	,0.840238308172	0.962067	,582.358777046
38124	,1	,6.59419689327	,0.560663544231	0.961876	,585.425164938
38399	,3	,9.52814793214	,0.917410860253	0.961601	,589.55608511
38617	,2	,7.92534781992	,0.822855501612	0.961383	,592.67838192
38801	,2	,6.51619734243	,0.653591392678	0.961199	,595.541280985
39055	,3	,8.97835453786	,0.839262813954	0.960945	,599.519759893
39194	,0	,4.85391568206	,0.466922125506	0.960806	,601.494772911
39323	,0	,4.62769808806	,0.496709068329	0.960677	,603.512289047
39483	,1	,5.69116548635	,0.59050932069	0.960517	,606.039978981
39615	,0	,4.49353918806	,0.3118322066	0.960385	,607.918761969
39795	,1	,6.49054786563	,0.652595293917	0.960205	,610.404978037
40014	,2	,7.50770628266	,0.591664373724	0.959986	,613.649590015
40196	,1	,6.45343291573	,0.498611309789	0.959804	,616.285437107
40363	,1	,5.91574804857	,0.390118529608	0.959637	,618.737343073
40506	,0	,5.52676811628	,0.59008683804	0.959494	,620.896661997
40690	,1	,6.56843053922	,0.483068617757	0.95931	,623.631236076
40891	,2	,7.46061593108	,0.668446708078	0.959109	,626.786320925
41069	,1	,6.58129194006	,0.637239458658	0.958931	,629.295844078
41248	,1	,6.67731533572	,0.544621537481	0.958752	,631.780472994
41383	,0	,4.92999548279	,0.435697662994	0.958617	,633.964673996
41591	,2	,7.67460688949	,0.68485924963	0.958409	,637.35303998
41730	,0	,5.3126550559	,0.604721249896	0.95827	,639.457633972
41918	,1	,7.14079259895	,0.637881355758	0.958082	,642.209203005
42050	,0	,4.88624145277	,0.404735871347	0.95795	,644.242007017
42379	,4	,11.987544233	,0.98086414891	0.957621	,649.703102112
42517	,0	,5.20066877641	,0.527429846168	0.957483	,651.703371048
42648	,0	,4.85007126443	,0.343136983365	0.957352	,653.664946079
42777	,0	,4.81934706308	,0.435498549232	0.957223	,655.561079979
42999	,2	,8.19756752439	,0.699736020659	0.957001	,659.100342989
43196	,1	,7.08753232285	,0.498847823977	0.956804	,662.264102936
43343	,0	,5.49513700418	,0.543875654607	0.956657	,664.511146069
43514	,1	,6.48344339617	,0.653001541288	0.956486	,667.184647083
43642	,0	,4.74867795967	,0.373881841814	0.956358	,669.316744089
43842	,2	,7.46821734309	,0.730644794397	0.956158	,672.876801968
44028	,1	,6.92003850266	,0.66827414716	0.955972	,675.855036974
44200	,1	,6.31733840145	,0.467271258485	0.9558	,678.509063005
44371	,1	,6.34541069716	,0.574836249784	0.955629	,680.938858032
44624	,3	,9.27758709528	,0.82518480557	0.955376	,684.777228117
44785	,1	,5.8619334586	,0.467116731861	0.955215	,687.330554962
45005	,2	,7.85930677503	,0.637937579683	0.954995	,691.038391113
45236	,2	,8.33125539869	,0.654386739584	0.954764	,694.388557911
45468	,3	,8.20165819861	,0.607365338678	0.954532	,697.798110008
45708	,3	,9.0219529178	,0.839732455646	0.954292	,701.398900986
46004	,4	,10.6836645156	,0.871877040116	0.953996	,705.668378115
46229	,2	,8.3536813613	,0.762220400751	0.953771	,709.041174889
46365	,0	,5.09639143758	,0.4965418834	0.953635	,711.065752029
46552	,1	,7.0793802198	,0.698673922191	0.953448	,713.836863041
46818	,4	,9.97081692144	,0.948485689792	0.953182	,717.90132308
47037	,2	,8.47473681346	,0.853896447452	0.952963	,721.052067995
47245	,2	,7.6343124453	,0.62300732986	0.952755	,724.274476051
47417	,1	,6.42831266299	,0.621660266396	0.952583	,726.939289093
47546	,0	,5.04889617674	,0.496537617987	0.952454	,728.893950939
47727	,1	,6.39607521333	,0.452038928495	0.952273	,731.481544018
47861	,0	,4.92108981684	,0.434791510872	0.952139	,733.440457106
48045	,1	,6.66400246322	,0.467915348469	0.951955	,736.120923996
48306	,3	,9.61886065081	,0.855864611848	0.951694	,740.252448082
48475	,1	,6.23105993122	,0.560060484946	0.951525	,743.075982094
48683	,2	,7.55022818781	,0.607331586611	0.951317	,746.284264088
48904	,2	,8.16147830524	,0.700269482685	0.951096	,749.700516939
49246	,6	,12.3852558937	,1.13574632774	0.950754	,754.992912054
49401	,0	,5.91544174589	,0.559594463433	0.950599	,757.219103098
49614	,2	,8.28312147036	,0.868134329033	0.950386	,760.242907047
49758	,0	,5.17644872144	,0.342658999729	0.950242	,762.259264946
